full_name,url,description,stream,stars,forks,language,updated_at,pushed_at,archived,topics,tracked_status,recommendation,rationale
pshenok/datacenter-survival,https://github.com/pshenok/datacenter-survival,"Build and run a datacenter: power chains, heat, cooling, PUE. Sister game of Server Survival — the physical layer of the cloud.",datacenter cooling,11,0,JavaScript,2026-08-08T04:27:18Z,2026-08-06T20:20:29Z,False,datacenter; education; game; simulation; threejs,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, pue, simulation."
dungnotnull/small-datacenter-airflow-thermal-optimization-agent-skill,https://github.com/dungnotnull/small-datacenter-airflow-thermal-optimization-agent-skill,"🌡️❄️ Small Data Center Airflow & Thermal Engineering Engine | Production-grade Claude Code harness & Python package (dc_thermal v2.0.0) for small data centers & edge server rooms. Features ASHRAE TC 9.9 setpoints, PUE reduction..",PUE data center,4,0,Python,2026-08-03T06:56:28Z,2026-07-29T08:33:57Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: thermal, pue."
m-iml/ML-Optimization-Data-Centers,https://github.com/m-iml/ML-Optimization-Data-Centers,Code for Machine Learning Guided Cooling System Optimization for Data Center,datacenter cooling,4,0,Jupyter Notebook,2026-08-09T09:03:23Z,2026-08-07T15:14:40Z,False,datacenter; thermal-management,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, thermal."
aidc2026ai-melon/aidc-ai-mcp,https://github.com/aidc2026ai-melon/aidc-ai-mcp,AI data center automation tool — MCP connector (design · validate · layout). Remote MCP: aidc-ai.io/api/mcp · registry io.aidc-ai/design-engine. Engine private.,PUE data center,3,0,JavaScript,2026-08-06T04:05:46Z,2026-07-20T06:36:37Z,False,ai-datacenter; cdu; data-center-design; datacenter; korea; liquid-cooling; mcp; model-context-protocol; nvidia-rubin; pue,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, cdu, pue."
Aprmon7319/hpc-cooling-surrogate,https://github.com/Aprmon7319/hpc-cooling-surrogate,This repository provides deep learning surrogate models that replace computationally expensive FMU-based cooling system simulators within the ExaDigiT digital twin framework for high-performance computing (HPC) data centers.,data center cooling,2,0,Jupyter Notebook,2026-08-11T01:40:40Z,2026-08-11T01:40:17Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, digital twin."
clayhewsr/data-center-water-heat-loop,https://github.com/clayhewsr/data-center-water-heat-loop,"Public concept for closed-loop water reuse, data-center cooling, waste-heat recovery, and AI optimization in large scale AI infrastruture.",data center water cooling,1,0,Python,2026-07-20T05:25:04Z,2026-07-20T05:25:01Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, water."
rupeshm-crypto/reliability-engine,https://github.com/rupeshm-crypto/reliability-engine,"Public Reliability Engine resources for AI data center liquid cooling reliability, coolant health, and predictive uptime intelligence. Website: https://www.reliabilityengine.com/",data center liquid cooling,1,0,,2026-07-14T11:11:16Z,2026-06-23T11:48:43Z,False,ai-infrastructure; coolant-health; data-center; direct-to-chip; gpu-infrastructure; liquid-cooling; observability; predictive-maintenance,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, liquid cooling."
akrpavi2006-ai/AI-POWERED-INTELLIGENT-COOLING-AND-WATER-RECOVERY-FOR-SUSTAINABLE-DATA-CENTERS,https://github.com/akrpavi2006-ai/AI-POWERED-INTELLIGENT-COOLING-AND-WATER-RECOVERY-FOR-SUSTAINABLE-DATA-CENTERS,,data center water cooling,0,0,C++,2026-06-13T04:44:45Z,2026-06-13T04:44:41Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, water."
amar-1208/Global-Data-Center-Water-Electricity-Usage-EDA,https://github.com/amar-1208/Global-Data-Center-Water-Electricity-Usage-EDA,"An exploratory data analysis of global data center resource consumption, examining Power Usage Effectiveness (PUE) and Water Usage Effectiveness (WUE) across facility types, countries, cooling systems, and years (2019–2025).",PUE data center,0,0,Jupyter Notebook,2026-06-26T20:27:42Z,2026-06-26T20:27:37Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, pue, wue, water."
api-evangelist/amogy,https://github.com/api-evangelist/amogy,"Amogy is an energy-technology company decarbonizing hard-to-electrify sectors by converting energy-dense ammonia into dispatchable, zero-carbon electricity. Its AMMDrive power systems crack ammonia into hydrogen and nitrogen and convert the hydrogen to power for data centers, industrial facilities, microgrids, and maritime vessels, and it develops…",data center sustainability,0,0,,2026-08-11T23:20:32Z,2026-08-11T23:20:28Z,False,ammonia; apis-json; clean-energy; company; decarbonization; energy; hydrogen; maritime; power-generation; sustainability,new to queue,candidate,"Cooling/energy relevance suggested by: energy, carbon, rack."
api-evangelist/carnot-innovations,https://github.com/api-evangelist/carnot-innovations,"Carnot Innovations is a Hong Kong-based building energy management company that applies AI, machine learning, and advanced data analytics to optimize HVAC systems and reduce energy consumption across commercial buildings, data centers, hospitals, railways, and sewage treatment facilities in the Asia-Pacific region.",data center sustainability,0,0,,2026-08-11T23:31:48Z,2026-08-11T23:31:45Z,False,analytics; apis-json; artificial-intelligence; building-automation; company; energy; hvac; machine-learning; predictive-maintenance; smart-buildings; sustainability,new to queue,candidate,"Cooling/energy relevance suggested by: hvac, energy."
api-evangelist/frore-systems,https://github.com/api-evangelist/frore-systems,Frore Systems is a Silicon Valley thermal-management company that develops solid-state active cooling technology for high-performance computing in space-constrained devices. Its flagship AirJet solid-state cooling chips (AirJet Mini and AirJet PAK families) and LiquidJet direct-to-chip liquid cooling for data centers enable higher power density…,data center cooling,0,0,,2026-08-11T23:50:18Z,2026-08-11T23:50:14Z,False,apis-json; company; cooling; data-center; hardware; semiconductors; solid-state-cooling; thermal-management,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, liquid cooling, thermal."
api-evangelist/gyre-energy,https://github.com/api-evangelist/gyre-energy,"Gyre Energy is a UK-based climate-tech company that reduces cooling costs for operators of cold storage facilities, data centers, and building portfolios by combining artificial intelligence with thermal energy storage.",data center cooling,0,0,,2026-08-11T23:54:41Z,2026-08-11T23:54:37Z,False,apis-json; artificial-intelligence; climate-tech; cold-storage; company; cooling; data-centers; energy; energy-efficiency; iot-monitoring; sustainability; thermal-energy-storage,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, thermal, energy."
api-evangelist/madrone,https://github.com/api-evangelist/madrone,"Madrone is a data center cooling technology company (Y Combinator Spring 2026, NVIDIA Inception) building modular thermodynamic cooling systems that sit outside the data center and chill water to the dew point, eliminating the need for mechanical chillers and cooling towers.",data center cooling,0,0,,2026-08-12T00:07:58Z,2026-08-12T00:07:54Z,False,apis-json; company; cooling; data-center; energy-efficiency; hardware; infrastructure; thermal-management,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, thermal, chiller, energy, water."
api-evangelist/neocarbon,https://github.com/api-evangelist/neocarbon,"NeoCarbon GmbH is a Berlin-based climate-technology company building integrated cooling and carbon-capture systems for data centers. Its patented Hollow Fiber platform converts low-grade waste heat (30-55C) simultaneously into efficient cooling, captured CO2 for industrial reuse, and recovered water, deployed as a retrofit without redesigning…",data center cooling,0,0,,2026-08-12T00:14:43Z,2026-08-12T00:14:40Z,False,apis-json; berlin; carbon-capture; climate-tech; company; cooling; data-centers; sustainability; waste-heat-recovery,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, water, carbon."
api-evangelist/nortek,https://github.com/api-evangelist/nortek,"Nortek is a global manufacturer of HVAC, data center cooling, and cleanroom systems, organized into three divisions: Nortek Air Solutions, Nortek Data Center Cooling, and Nortek Cleanroom Solutions.",data center cooling,0,0,,2026-08-12T00:16:14Z,2026-08-12T00:16:10Z,False,apis-json; building-systems; cleanroom; data-center-cooling; fortune-1000; hvac; manufacturing,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, hvac."
api-evangelist/phaidra,https://github.com/api-evangelist/phaidra,"Phaidra builds AI agents for autonomous data center and industrial operations, using reinforcement learning to control cooling, power, and workloads in mission-critical facilities. Its products include Phaidra Prism, an LLM for data center operations that helps technicians identify, prioritize, and resolve infrastructure issues, and Phaidra…",data center cooling,0,0,,2026-08-12T00:23:01Z,2026-08-12T00:22:57Z,False,ai-ml; apis-json; artificial-intelligence; autonomous-control; company; data-centers; energy-efficiency; industrial-automation; reinforcement-learning,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, energy, control, reinforcement learning."
api-evangelist/starcloud,https://github.com/api-evangelist/starcloud,"Starcloud is developing orbital data centers that run AI and high-performance compute in space. The company aims to deploy hyperscale, gigawatt-scale infrastructure in orbit, using continuous solar energy without batteries and radiative cooling into the vacuum to lower cost, scale beyond terrestrial siting and permitting limits, and deploy…",data center cooling,0,0,,2026-08-12T00:38:46Z,2026-08-12T00:38:41Z,False,apis-json; artificial-intelligence; cloud-computing; company; compute; data-centers; infrastructure; space; sustainability,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, energy."
