name,url,section,resource_type,scale,status,evidence_level,validation_basis,run_status,artifact_status,reviewed_on,validation_signal,review_priority,workflow_tags,notes
Bubble dynamics analysis,,Fundamental Thermal-Fluid Mechanisms,Research workflow,Bubble/boiling,workflow,workflow,not specified,not specified,not specified,,not specified,normal,workflow,"High-speed imaging, segmentation, tracking, velocity, departure diameter, frequency, coalescence, and uncertainty analysis."
Droplet dynamics analysis,,Fundamental Thermal-Fluid Mechanisms,Research workflow,Spray/evaporation,workflow,workflow,not specified,not specified,not specified,,not specified,normal,workflow,"Droplet impact, spreading, rebound, evaporation, spray cooling, and heat-transfer characterization."
Acoustic emission and flow visualization workflows,,Fundamental Thermal-Fluid Mechanisms,Experimental workflow,Boiling/two-phase,workflow,workflow,not specified,not specified,not specified,,not specified,normal,testing; workflow,"Useful for boiling regime identification, event detection, and multimodal diagnostics."
IR thermography workflows,,Fundamental Thermal-Fluid Mechanisms,Experimental workflow,Chip/surface,workflow,workflow,not specified,not specified,not specified,,not specified,normal,simulation; testing; workflow,"Useful for chip power maps, thermal maps, boiling surfaces, and validation of simulations."
cldunlap73/BubbleID,https://github.com/cldunlap73/BubbleID,Fundamental Thermal-Fluid Mechanisms,Open-source research code / paper artifact,Pool boiling / bubble dynamics,paper artifact,paper artifact,paper artifact and source documentation,not run in catalog review,public code,2026-06-22,paper artifact,medium,modeling,"Deep-learning framework for bubble interface dynamics analysis using segmentation, tracking, and classification models; supports departure classification, interface velocity prediction, and bubble-statistics extraction from manually labeled pool-boiling imagery. Validation basis: paper artifact and source documentation; Run status: not run in catalog review; Artifact status: public code; Reviewed: 2026-06-22."
UARK-NED3/BubbleID-Flow,https://github.com/UARK-NED3/BubbleID-Flow,Fundamental Thermal-Fluid Mechanisms,Lab research workflow,Flow boiling / bubble segmentation,workflow,workflow,lab workflow and validation-script documentation,not run in catalog review,public code,2026-06-22,documentation-only basis,medium,workflow,"Adaptation workspace for applying BubbleID-style segmentation to flow-boiling images, including flow-channel ROI preprocessing, high-speed BMP sequence support, COCO annotation utilities, Mask R-CNN fine-tuning configs, and bubble-mask validation scripts. Validation basis: lab workflow and validation-script documentation; Run status: not run in catalog review; Artifact status: public code; Reviewed: 2026-06-22."
UARK-NED3/FlowLab,https://github.com/UARK-NED3/FlowLab,Fundamental Thermal-Fluid Mechanisms,Lab experimental toolkit,Single-phase and two-phase liquid cooling,included,curated resource,lab protocols and example-file documentation,not run in catalog review,public code and documentation,2026-06-22,documentation-only basis,medium,testing,"Research toolkit for flow-loop, heater-power, acoustic-emission, and accelerometer measurements in microchannel liquid-cooling experiments, with protocols, multimodal data-collection guidance, example files, and analysis notebooks. Validation basis: lab protocols and example-file documentation; Run status: not run in catalog review; Artifact status: public code and documentation; Reviewed: 2026-06-22."
UARK-NED3/AELab,https://github.com/UARK-NED3/AELab,Fundamental Thermal-Fluid Mechanisms,Lab experimental toolkit,Acoustic emission / phase change,workflow,workflow,lab workflow and tutorial documentation,not run in catalog review,public code and documentation,2026-06-22,documentation-only basis,medium,testing; workflow,"Collaborative acoustic-emission analysis workspace for pool boiling, flow boiling, immersed partial discharge, partial discharge, and sensing-system workflows; useful for phase-change diagnostics and reproducible AE tutorials. Validation basis: lab workflow and tutorial documentation; Run status: not run in catalog review; Artifact status: public code and documentation; Reviewed: 2026-06-22."
Ansys Icepak,,"Chip, Package, And Server Cooling",Commercial solver,Electronics/package/server,commercial,commercial workflow,not specified,not specified,not specified,,explicit validation claim,medium,CFD; design; workflow,Electronics cooling CFD and thermal design workflows. Include examples only when tied to reproducible assumptions or validation data.
Ansys Fluent,,"Chip, Package, And Server Cooling",Commercial solver,Component to facility,commercial,commercial workflow,not specified,not specified,not specified,,commercial workflow caveat,medium,CFD,"General CFD and conjugate heat transfer; useful for cold plates, immersion, airflows, and room-scale studies when validation is documented."
